filename	spectral_type	luminosity_class	Teff	mU	mV	mK	mBol	BC_U	BC_V	BC_K
pickles_uk_105	M9	III	2500.35	1.330783344783633	0.04204310457363647	-7.7643212161931885	-7.418260716784651	8.749044061568284	7.460303821358288	-0.3460604994085372
pickles_uk_106	B2	II	15995.6	-5.473817529272829	-5.1024393377885175	-2.8388770465632476	-5.930519147068232	0.4567016177954031	0.8280798092797141	3.091642100504984
pickles_uk_107	B5	II	12589.3	-4.565545239566411	-4.499793075763932	-2.508681980206525	-5.160990064130779	0.5954448245643675	0.6611969883668465	2.652308083924254
pickles_uk_108	F0	II	7943.28	-1.4282628619202526	-2.507006867541172	-1.3051131887969873	-2.882515616478905	1.4542527545586523	0.3755087489377331	1.5774024276819176
pickles_uk_109	F2	II	7328.25	-1.2345369069257544	-2.5033308924172317	-1.4390369435880572	-2.9331866436440563	1.698649736718302	0.4298557512268246	1.4941497000559991
pickles_uk_110	G5	II	5248.07	-0.25930344228929414	-2.400667272776367	-2.38636083129812	-3.2954849209158255	3.0361814786265313	0.8948176481394583	0.9091240896177055
pickles_uk_111	K1	II	5011.87	0.7654926029321203	-2.5012631690301887	-2.894011744758508	-3.6751776423292313	4.440670245261352	1.1739144732990425	0.7811658975707232
pickles_uk_112	K2	II	4255.98	1.3580924040021856	-2.4987766928738537	-3.8426406082463203	-4.250045572840946	5.608137976843132	1.7512688799670926	0.40740496459462605
pickles_uk_113	M3	II	3411.93	1.4407498611475447	-2.7994889890943284	-5.988900794544577	-5.963081463770905	7.40383132491845	3.1635924746765767	-0.025819330773671822
pickles_uk_114	B0	I	26001.6	-7.049813658696181	-6.502800038226411	-3.9440292283552836	-7.699439280287656	0.6496256215914755	1.196639242061245	3.7554100519323725
pickles_uk_117	B5	I	13396.8	-6.467533457215822	-6.399677774398604	-4.427609079085819	-7.0711543461074555	0.6036208888916335	0.6714765717088511	2.6435452670216364
pickles_uk_118	B8	I	11194.4	-6.258707743331023	-6.401198513693203	-4.523237673172829	-6.811187398586256	0.5524796552552331	0.4099888848930533	2.2879497254134264
pickles_uk_119	A0	I	9727.47	-5.893274081746057	-6.400969854607432	-4.763576810229388	-6.7934518559522346	0.9001777742061776	0.3924820013448027	2.0298750457228465
pickles_uk_121	F0	I	7691.3	-5.629836314273547	-6.8047590989686455	-5.5410552297162425	-7.194950272474422	1.5651139582008753	0.3901911735057766	1.6538950427581796
pickles_uk_122	F5	I	6637.43	-5.390531840964968	-6.60509796233783	-5.528319262776073	-7.074992879549775	1.6844610385848071	0.46989491721194554	1.5466736167737025
pickles_uk_123	F8	I	6095.37	-4.653597273875754	-6.407399084709304	-5.783403818079449	-6.97503586272763	2.3214385888518763	0.5676367780183256	1.1916320446481805
pickles_uk_124	G0	I	5508.08	-4.356125687862487	-6.30528811134392	-5.93167636198654	-6.994497188166598	2.6383715003041104	0.689209076822678	1.062820826180058
pickles_uk_126	G5	I	5046.61	-3.4842131623312227	-6.101520601560296	-6.087168079992985	-6.979868531779424	3.495655369448201	0.8783479302191282	0.892700451786439
pickles_uk_127	G8	I	4591.98	-3.011348147363684	-6.099785170307719	-6.0857847529933125	-7.0846340879593654	4.073285940595682	0.9848489176516466	0.998849334966053
pickles_uk_128	K2	I	4255.98	-2.269487690297275	-6.100595715850837	-6.5424759895507805	-7.3771269040352365	5.107639213737961	1.2765311881844	0.834650914484456
pickles_uk_130	K4	I	3990.25	-2.114166413770434	-6.196362836227998	-8.049142743380429	-8.31530363664789	6.201137222877456	2.1189408004198924	0.26616089326746106
pickles_uk_131	M2	I	3451.44	-2.0531147750277015	-6.301077451530638	-8.79763588141418	-8.971456856027565	6.918342080999864	2.670379404496927	0.17382097461338475
wd1	DA0	D	50400.0	10.447935842967482	10.796696055306668		10.76967670491073	-0.3217408619432476	0.027019350395939057	
wd2	DA6	D	8400.0	14.201804912211806	13.701314993901505		13.810218097678124	0.3915868145336816	-0.10890310377661905	
