filename	spectral_type	luminosity_class	Teff	mU	mV	mK	mBol	BC_U	BC_V	BC_K
pickles_uk_71	F5	III	6531.31	2.7350882795749527	1.499996145554455	2.325781995841787	0.8956319855200618	1.8394562940548909	0.6043641600343932	1.430150010321725
pickles_uk_72	G0	III	5610.48	2.684544680829717	0.9999977225493168	1.125880953887112	0.12202755401728638	2.5625171268124305	0.8779701685320305	1.0038533998698256
pickles_uk_73	G5	III	5164.16	2.603338597552117	0.39997654153185636	0.23549831510403862	-0.6347848014130264	3.2381233989651435	1.0347613429448828	0.870283116517065
pickles_uk_76	G8	III	5011.87	2.890423890831457	0.5000233782131502	0.267467190196399	-0.5820695592832763	3.472493450114733	1.0820929374964265	0.8495367494796753
pickles_uk_78	K0	III	4852.89	3.062728775986713	0.49993395079663117	0.13495083985157663	-0.6559170369265104	3.7186458129132234	1.1558509877231415	0.790867876778087
pickles_uk_87	K3	III	4365.16	3.3200556465224906	0.09988213858184736	-1.1199461037563978	-1.5421348653790545	4.862190511901545	1.6420170039609019	0.4221887616226567
pickles_uk_93	K5	III	4008.67	3.643636408558379	-0.2000632860200824	-1.8764432384397338	-2.480923359459574	6.124559768017953	2.2808600734394915	0.60448012101984
pickles_uk_95	M0	III	3819.44	3.1011809846229212	-0.6999126360785795	-2.617398728854816	-3.1382784991038193	6.2394594837267405	2.43836586302524	0.5208797702490031
pickles_uk_100	M5	III	3419.79	2.679783130962207	-0.499539186416591	-4.457432232878226	-4.763241722405844	7.443024853368051	4.263702535989253	0.30580948952761844
pickles_uk_105	M9	III	2500.35	1.517776119422031	0.001048988761937153	-7.754782772333137	-7.797618385450328	9.315394504872359	7.798667374212265	0.042835613117190974
pickles_uk_106	B2	II	15995.6	-5.479159268171351	-5.10004741842112	-2.7953476307813006	-5.978321327750713	0.499162059579362	0.878273909329593	3.1829736969694125
pickles_uk_107	B5	II	12589.3	-4.5650593879727595	-4.500070790400201	-2.473678053423008	-5.179975796070565	0.6149164080978053	0.6799050056703635	2.706297742647557
pickles_uk_108	F0	II	7943.28	-1.4297277575114649	-2.5000219351773865	-1.225397074272017	-2.8929672878729917	1.4632395303615269	0.39294535269560527	1.6675702136009747
pickles_uk_109	F2	II	7328.25	-1.223103549297413	-2.500002390488305	-1.3193817395146965	-2.940981930582744	1.717878381285331	0.44097954009443896	1.6216001910680475
pickles_uk_110	G5	II	5248.07	-0.20430083993729653	-2.3999651218736133	-2.2964686020012337	-3.314039667860385	3.1097388279230884	0.9140745459867716	1.0175710658591512
pickles_uk_111	K1	II	5011.87	0.780935671834392	-2.5000269409405647	-2.805126004054081	-3.6965489204609057	4.477484592295298	1.196521979520341	0.8914229164068246
pickles_uk_112	K2	II	4255.98	1.4007337639421777	-2.4998852090028976	-3.765070432702558	-4.47277631815227	5.873510082094448	1.9728911091493728	0.7077058854497125
pickles_uk_113	M3	II	3411.93	1.4547695109670329	-2.7998650485541177	-5.914334939248079	-5.962509143281132	7.417278654248165	3.162644094727014	0.04817420403305306
pickles_uk_114	B0	I	26001.6	-7.0498984910079585	-6.500175701886164	-3.9130600114155882	-7.9458776555117865	0.895979164503828	1.4457019536256226	4.032817644096198
pickles_uk_117	B5	I	13396.8	-6.470047374763247	-6.400083561262456	-4.35281890518425	-7.094613151013938	0.6245657762506909	0.6945295897514825	2.741794245829688
pickles_uk_118	B8	I	11194.4	-6.263035549019925	-6.400095525204982	-4.480905314020916	-6.812197009370372	0.5491614603504473	0.4121014841653903	2.3312916953494565
pickles_uk_119	A0	I	9727.47	-5.91108050365289	-6.400080112936465	-4.659335344815638	-6.80013410222594	0.8890535985730494	0.400053989289475	2.140798757410302
pickles_uk_121	F0	I	7691.3	-5.632363789637971	-6.800004031999542	-5.494993942386273	-7.195076677732722	1.562712888094751	0.3950726457331797	1.7000827353464487
pickles_uk_122	F5	I	6637.43	-5.378860212604408	-6.600042104574733	-5.4821240929043	-7.074942553605304	1.6960823410008956	0.4749004490305708	1.5928184607010039
pickles_uk_123	F8	I	6095.37	-4.6361804980287715	-6.399891843830581	-5.706531454696453	-6.990294703575017	2.354114205546246	0.5904028597444366	1.2837632488785644
pickles_uk_124	G0	I	5508.08	-4.325859033124125	-6.299941186026167	-5.894977454519221	-6.994667434232667	2.6688084011085422	0.6947262482065	1.099689979713446
pickles_uk_126	G5	I	5046.61	-3.462246449078755	-6.099967015173526	-6.000492771490919	-6.999503644353382	3.537257195274627	0.8995366291798561	0.9990108728624634
pickles_uk_127	G8	I	4591.98	-2.9729733899383746	-6.099995943119339	-6.026278153646537	-7.08460938259212	4.111635992653746	0.9846134394727812	1.0583312289455833
pickles_uk_128	K2	I	4255.98	-2.2205624405963036	-6.099974198801725	-6.473857596747543	-7.377015443375122	5.156453002778818	1.2770412445733967	0.9031578466275789
pickles_uk_130	K4	I	3990.25	-2.0786500117813205	-6.2000106694969475	-7.9549888995028795	-8.31530173787602	6.236651726094699	2.115291068379072	0.3603128383731402
pickles_uk_131	M2	I	3451.44	-2.0116709247763254	-6.300015913334086	-8.70025986032229	-8.971390958770911	6.959720033994586	2.6713750454368252	0.2711310984486204
wd1	DA0	D	50400.0	10.46314896773228	10.799779861429421		10.625646697992565	-0.16249773026028436	0.17413316343685636	
wd2	DA6	D	8400.0	14.217429366372038	13.700102696357774		13.381336895514146	0.8360924708578921	0.3187658008436287	
